ID	Name	TYPE1	TYPE2	STAND	WALK
1820	Mountain Goat	0	63	5339	5340
1821	Bald Headed Eagle	0	264	1773	1773
1822	Cave goblin	3	214	6040	6041
1823	Cave goblin	3	214	6040	6041
1824	Cave goblin	3	214	6040	6041
1825	Cave goblin	3	214	6040	6041
1826	Zombie	39	1049	5565	5566
1827	Gargoyle	111	-1	-1	-1
1828	Giant frog	99	37	1796	1797
1829	Big frog	24	37	1796	1797
1830	Frog	0	37	1796	1797
1831	Cave slime	23	650	1790	1788
1832	Cave bug	6	651	6078	6077
1833	Cave bug larva	0	649	1782	1781
1834	Candle seller	0	4	808	819
1835	Easter Bunny	0	180	3852	3851
1837	Dondakan the Dwarf	0	-1	-1	-1
1838	Dondakan the Dwarf	0	-1	-1	-1
1839	Dondakan the Dwarf	0	2	101	98
1840	Dwarven Engineer	0	2	101	98
1841	Rolad	0	2	101	98
1842	Khorvak, a dwarven engineer	0	48	900	104
1843	Dwarven Ferryman	0	2	101	98
1844	Dwarven Ferryman	0	2	101	98
1846	Dwarven Boatman	0	2	101	98
1847	Miodvetnir	0	2	101	98
1848	Dernu	0	2	101	98
1849	Derni	0	2	101	98
1850	Arzinian Avatar of Strength	0	928	1838	1839
1851	Arzinian Avatar of Strength	125	928	1838	1839
1852	Arzinian Avatar of Strength	75	928	1838	1839
1853	Arzinian Avatar of Ranging	0	928	1838	1839
1854	Arzinian Avatar of Ranging	125	928	1838	1839
1855	Arzinian Avatar of Ranging	75	928	1838	1839
1856	Arzinian Avatar of Magic	0	928	1838	1839
1857	Arzinian Avatar of Magic	125	928	1838	1839
1858	Arzinian Avatar of Magic	75	928	1838	1839
1859	Arzinian Being of Bordanzan	781	928	1838	1839
1860	Brian	0	4	808	819
1861	Ranged Tutor	0	205	9677	9869
1862	Ali Morrisane	0	4	808	819
1863	Drunken Ali	0	968	1322	-1
1864	Ali the Barman	0	4	808	819
1865	Ali the Kebab seller	0	4	808	819
1866	Market seller	0	4	808	819
1867	Ali the Camel Man	0	4	808	819
1868	Street urchin	0	165	7158	7160
1870	Ali the Mayor	0	4	808	819
1871	Ali the Hag	0	166	808	1146
1872	Ali the Snake Charmer	0	1539	11816	11816
1873	Ali the Camel	0	259	9669	9670
1874	Desert snake	5	113	277	274
1875	Snake	0	1532	11808	11808
1878	Bandit Leader	0	4	808	819
1880	Bandit	56	4	808	819
1881	Bandit	56	4	808	819
1882	Sir Palomedes	118	4	808	819
1883	Sir Palomedes	118	4	808	819
1884	Trobert	0	4	808	819
1885	Bandit champion	70	4	808	819
1886	Cowardly Bandit	56	4	808	819
1888	Villager	3	4	808	819
1889	Villager	3	4	808	819
1890	Villager	3	4	808	819
1892	Villager	3	4	808	819
1893	Villager	3	4	808	819
1894	Villager	3	4	808	819
1896	Villager	3	4	808	819
1897	Villager	3	4	808	819
1898	Villager	3	4	808	819
1901	Menaphite Leader	0	-1	-1	-1
1902	Ali the Operator	0	4	808	819
1904	Menaphite Thug	55	-1	-1	-1
1905	Menaphite Thug	55	4	808	819
1906	Tough Guy	75	4	808	819
1908	Broken clay golem	0	241	1913	1912
1909	Damaged clay golem	0	241	1913	1912
1910	Clay golem	0	241	1913	1912
1911	Desert Phoenix	0	251	6809	6808
1912	Elissa	0	4	808	819
1913	Kamil	154	111	842	841
1914	Dessous	139	4	808	819
1915	Dessous	139	4	808	819
1916	Ruantun	0	4	808	819
1917	Bandit shopkeeper	0	4	808	819
1918	Archaeologist	0	4	808	819
1919	Stranger	95	4	808	819
1920	Malak	0	4	808	819
1921	Bartender	0	4	808	819
1923	Eblis	0	4	808	819
1925	Eblis	0	4	808	819
1926	Bandit	74	4	808	819
1927	Bandit	0	788	1955	-1
1928	Bandit	0	787	1953	-1
1929	Bandit	0	786	1952	-1
1930	Bandit	0	789	1954	-1
1931	Bandit	57	4	808	819
1933	Troll child	0	42	286	283
1934	Troll child	0	790	1476	283
1935	Ice troll	0	42	286	283
1936	Ice troll	124	42	286	283
1937	Ice troll	123	42	286	283
1938	Ice troll	120	254	926	1139
1939	Ice troll	121	42	286	283
1940	Ice troll	120	254	926	1139
1941	Ice troll	120	42	286	283
1942	Ice troll	121	42	286	283
1944	Ice block	0	-1	-1	-1
1946	Ice block	0	-1	-1	-1
1948	Troll father	0	42	286	283
1950	Troll mother	0	42	286	283
1951	Ice wolf	132	97	6580	6556
1952	Ice wolf	132	97	6580	6556
1953	Ice wolf	132	97	6580	6556
1954	Ice wolf	132	97	6580	6556
1955	Ice wolf	132	97	6580	6556
1956	Ice wolf	132	97	6580	6556
1958	Mummy	96	244	5548	5552
1959	Mummy	98	244	5548	5552
1960	Mummy ashes	96	785	5563	5563
1961	Mummy	103	244	5548	5552
1962	Mummy	103	244	5548	5552
1963	Mummy	103	244	5548	5552
1964	Mummy	103	244	5548	5552
1965	Mummy	103	244	5548	5552
1966	Mummy	103	244	5548	5552
1967	Mummy	103	244	5548	5552
1968	Mummy	103	244	5548	5552
1969	Scarabs	92	135	1947	1945
1971	Azzanadra	0	784	125	119
1972	Rasolo	0	4	808	819
1973	Giant skeleton	80	72	5493	5497
1974	Damis	103	4	808	819
1975	Damis	174	4	808	819
1976	Shadow Hound	63	98	6561	6560
1977	Fareed	167	4	808	819
1978	Slave	0	4	808	819
1979	Slave	0	4	808	819
1980	Embalmer	0	4	808	819
1981	Carpenter	0	4	808	819
1982	Raetul	0	4	808	819
1983	Siamun	0	4	808	819
1986	High Priest	0	4	808	819
1988	Priest	0	4	808	819
1989	Priest	0	4	808	819
1990	Sphinx	0	1563	11895	11896
1991	Possessed Priest	91	4	808	819
1992	Neite	0	41	9158	9157
1993	Crocodile	63	247	7589	7587
1994	Jackal	21	98	6561	6560
1995	Locust	18	773	2012	2011
1996	Vulture	31	-1	-1	-1
1997	Plague frog	11	274	1018	1021
1998	Plague cow	0	66	5852	5848
1999	Plague cow	0	66	5852	5848
2000	Plague cow	0	66	5852	5848
2001	Scarab swarm	98	135	1947	1945
2005	Wanderer	0	166	808	1146
2006	Wanderer	0	166	808	1146
2007	Het	81	29	813	1205
2008	Apmeken	75	29	813	1205
2009	Scabaras	75	29	813	1205
2010	Crondis	75	29	813	1205
2012	Icthlarin	0	29	813	1205
2014	Klenter	0	73	5538	5539
2015	Mummy	84	774	5551	5553
2016	Mummy	84	774	5551	5553
2017	Mummy	84	774	5551	5553
2018	Mummy	84	774	5551	5553
2019	Mummy	84	774	5551	5553
2021	Light creature	0	136	2051	2051
2022	Light creature	0	136	2051	2051
2023	Juna	0	-1	-1	-1
2024	Strange Old Man	0	375	1728	1205
2025	Ahrim the Blighted	98	29	813	1205
2026	Dharok the Wretched	115	102	2065	2064
2027	Guthan the Infested	115	29	813	1205
2028	Karil the Tainted	98	4	808	819
2029	Torag the Corrupted	115	4	808	819
2030	Verac the Defiled	115	371	2061	2060
2031	Bloodworm	52	374	2071	2069
2032	Crypt rat	43	132	242	239
2033	Giant crypt rat	76	133	4932	4931
2034	Crypt spider	56	99	6247	6248
2035	Giant crypt spider	79	17	5326	5325
2036	Skeleton	77	70	5483	5481
2037	Skeleton	77	70	5483	5481
2038	Grish	0	321	10626	10625
2039	Uglug Nar	0	321	10626	10625
2040	Pilg	0	1465	11423	-1
2041	Grug	0	1466	11424	-1
2042	Ogre guard	0	1476	11426	11463
2043	Ogre guard	76	1476	11426	11463
2044	Zogre	44	1479	11434	11433
2045	Zogre	44	1479	11434	11433
2046	Zogre	44	1479	11434	11433
2047	Zogre	44	1479	11434	11433
2048	Zogre	44	1479	11434	11433
2049	Zogre	44	1479	11434	11433
2050	Skogre	44	1480	11436	11433
2051	Zogre	44	1480	11436	11433
2052	Zogre	44	1480	11436	11433
2053	Zogre	44	1480	11436	11433
2054	Zogre	44	1480	11436	11433
2055	Zogre	44	1048	11422	11422
2056	Skogre	44	1048	11422	11422
2057	Skogre	44	1479	11434	11433
2058	Hole in the wall	0	655	1798	-1
2059	Zavistic Rarve	0	119	813	819
2060	Slash Bash	111	1467	11460	11461
2061	Sithik Ints	0	-1	-1	-1
2062	Sithik Ints	0	-1	-1	-1
2063	Gargh	0	1476	11426	11463
2064	Scarg	0	1476	11426	11463
2065	Gruh	0	1047	11426	10625
2066	Irwin Feaselbaum	0	4	808	819
2067	Fishing spot	0	265	2126	2126
2068	Fishing spot	0	265	2126	2126
2069	Cave goblin miner	11	782	6006	6005
2070	Cave goblin miner	11	782	6006	6005
2071	Cave goblin miner	11	782	6006	6005
2072	Cave goblin miner	11	782	6006	6005
2073	Cave goblin guard	26	782	6006	6005
2074	Cave goblin guard	24	782	6006	6005
2075	Cave goblin miner	11	783	6004	6005
2076	Cave goblin miner	11	783	6004	6005
2077	Cave goblin miner	11	783	6004	6005
2078	Cave goblin miner	11	783	6004	6005
2082	Sigmund	0	4	808	819
2083	Sigmund	0	4	808	819
2084	Mistag	0	214	6040	6041
2086	Kazgar	0	782	6006	6005
2087	Ur-tag	0	214	6040	6041
2088	Duke Horacio	0	117	9870	9869
2089	Mistag	0	214	6040	6041
2090	Sigmund	0	4	808	819
2092	Purple Pewter Secretary	0	436	2157	2156
2093	Yellow Fortune Secretary	0	436	2157	2156
2094	Blue Opal Secretary	0	440	2158	-1
2095	Green Gemstone Secretary	0	440	2158	-1
2096	White Chisel Secretary	0	440	2158	-1
2097	Silver Cog Secretary	0	440	2158	-1
2098	Brown Engine Secretary	0	440	2158	-1
2099	Red Axe Secretary	0	2	101	98
2100	Purple Pewter Director	0	2	101	98
2101	Blue Opal Director	0	2	101	98
2102	Yellow Fortune Director	0	436	2157	2156
2103	Green Gemstone Director	0	2	101	98
2104	White Chisel Director	0	2	101	98
2105	Silver Cog Director	0	2	101	98
2106	Brown Engine Director	0	2	101	98
2107	Red Axe Director	0	212	2155	2154
2108	Red Axe Cat	0	41	9158	9157
2109	Trader	0	2	101	98
2110	Trader	0	436	2157	2156
2111	Trader	0	2	101	98
2112	Trader	0	2	101	98
2113	Trader	0	436	2157	2156
2114	Trader	0	436	2157	2156
2115	Trader	0	2	101	98
2116	Trader	0	2	101	98
2117	Trader	0	2	101	98
2118	Trader	0	2	101	98
2119	Trader	0	2	101	98
2120	Trader	0	2	101	98
2121	Trader	0	2	101	98
2122	Trader	0	436	2157	2156
2124	Trader	0	2	101	98
2126	Trader	0	2	101	98
2127	Trade Referee	0	2	101	98
2128	Supreme Commander	0	2	101	98
2130	Black Guard	48	2	101	98
2131	Black Guard	48	2	101	98
2132	Black Guard	48	2	101	98
2133	Black Guard	48	2	101	98
2134	Black Guard Berserker	66	2	101	98
2135	Black Guard Berserker	66	2	101	98
2136	Black Guard Berserker	66	2	101	98
2137	Gnome emissary	0	108	195	189
2138	Gnome traveller	0	108	195	189
2139	Gnome traveller	0	108	195	189
2140	Dromund's cat	0	435	9171	-1
2141	Blasidar the sculptor	0	2	101	98
2143	Riki the sculptor's model	0	2	101	98
2144	Riki the sculptor's model	0	2	101	98
2145	Riki the sculptor's model	0	2	101	98
2146	Riki the sculptor's model	0	2	101	98
2147	Riki the sculptor's model	0	2	101	98
2148	Riki the sculptor's model	0	2	101	98
2149	Riki the sculptor's model	0	2	101	98
2150	Riki the sculptor's model	0	2	101	98
2151	Vigr	0	2	101	98
2152	Santiri	0	2	101	98
2153	Saro	0	2	101	98
2154	Gunslik	0	2	101	98
2155	Wemund	0	2	101	98
2156	Randivor	0	2	101	98
2157	Hervi	0	2	101	98
2158	Nolar	0	2	101	98
2159	Gulldamar	0	2	101	98
2160	Tati	0	212	2155	2154
2161	Agmundi	0	436	2157	2156
2162	Vermundi	0	436	2157	2156
2163	Banker	0	439	2157	2157
2164	Banker	0	438	101	101
2165	Librarian	0	2	101	98
2166	Assistant	0	436	2157	2156
2167	Customer	0	436	2157	2156
2168	Customer	0	4	808	819
2169	Dromund	0	2	101	98
2170	Rind the gardener	0	2	101	98
2171	Factory Manager	0	2	101	98
2172	Factory Worker	0	2	101	98
2173	Factory Worker	0	2	101	98
2174	Factory Worker	0	2	101	98
2175	Factory Worker	0	2	101	98
2176	Inn Keeper	0	2	101	98
2177	Inn Keeper	0	2	101	98
2178	Barmaid	0	436	2157	2156
2179	Barman	0	2	101	98
2180	Cart conductor	0	2	101	98
2181	Cart conductor	0	2	101	98
2182	Cart conductor	0	2	101	98
2183	Cart conductor	0	2	101	98
2184	Cart conductor	0	2	101	98
2185	Cart conductor	0	48	900	104
2186	Cart conductor	0	2	101	98
2187	Rowdy dwarf	0	213	101	104
2188	Hegir	0	212	2155	2154
2189	Haera	0	436	2157	2156
2190	Runvastr	0	2	101	98
2191	Sune	0	2	101	98
2192	Bentamir	0	2	101	98
2193	Ulifed	0	2	101	98
2194	Reinald	0	2	101	98
2195	Karl	0	2	101	98
2196	Gauss	0	2	101	98
2197	Myndill	0	2	101	98
2198	Kjut	0	2	101	98
2199	Tombar	0	2	101	98
2200	Odmar	0	2	101	98
2201	Audmann	0	2	101	98
2203	Drunken Dwarf	0	48	900	104
2204	Drunken Dwarf	0	48	900	104
2205	Dwarven Boatman	0	2	101	98
2206	Dwarven Boatman	0	2	101	98
2207	Dwarven Miner	0	437	2150	2150
2208	Dwarven Miner	0	437	2150	2150
2209	Dwarven Miner	0	2	101	98
2210	Dwarven Miner	0	2	101	98
2211	Dwarven Miner	0	437	2150	2150
2212	Dwarven Miner	0	437	2150	2150
2213	Dwarven Miner	0	2	101	98
2214	Dwarven Miner	0	2	101	98
2215	Dwarven Miner	0	437	2150	2150
2216	Dwarven Miner	0	437	2150	2150
2217	Dwarven Miner	0	2	101	98
2218	Dwarven Miner	0	2	101	98
2219	Purple Pewter Director	0	953	2151	98
2220	Purple Pewter Director	0	2	101	98
2221	Blue Opal Director	0	2	101	98
2222	Yellow Fortune Director	0	1604	12186	2156
2223	Green Gemstone Director	0	2	101	98
2224	White Chisel Director	0	955	2152	98
2225	Silver Cog Director	0	2	101	98
2226	Brown Engine Director	0	1604	12186	2156
2227	Red Axe Director	0	212	2155	2154
2228	Commander Veldaban	0	2	101	98
2229	Red Axe Cat	0	41	9158	9157
2230	Red Axe Cat	0	952	9169	9157
2232	Black Guard berserker	0	2	101	98
2233	Olivia	0	4	808	819
2234	Master Farmer	0	4	808	819
2235	Master Farmer	0	4	808	819
2236	Market Guard	20	4	808	819
2237	Gee	0	121	4857	4858
2238	Donie	0	121	4857	4858
2239	Pig	0	1408	2166	2165
2240	Pig	0	1408	2166	2165
2241	Piglet	0	1408	2166	2165
2242	Piglet	0	1408	2166	2165
2243	Piglet	0	1408	2166	2165
2244	Lumbridge Guide	0	121	4857	4858
2245	Khazard trooper	19	4	808	819
2246	Khazard trooper	19	226	813	1205
2247	Gnome troop	3	108	195	189
2248	Gnome troop	3	108	195	189
2249	Gnome	3	108	195	189
2250	Gnome	1	108	195	189
2251	Gnome	3	108	195	189
2252	Crow	0	1400	6785	6784
2253	Wise Old Man	0	53	813	1146
2254	Bed	0	395	2170	-1
2255	Thing under the bed	0	395	2170	-1
2256	Paladin	62	4	808	819
2258	Mage of Zamorak	0	4	808	819
2259	Mage of Zamorak	0	4	808	819
2261	Mage of Zamorak	0	4	808	819
2262	Dark mage	0	460	2149	2149
2263	Abyssal leech	41	457	2180	2179
2264	Abyssal guardian	59	458	2185	2184
2265	Abyssal walker	81	459	2191	2190
2266	Brian O'Richard	0	4	808	819
2267	Rogue Guard	0	4	808	819
2268	Rogue Guard	0	4	808	819
2269	Rogue Guard	0	4	808	819
2270	Martin Thwait	0	4	808	819
2271	Emerald Benedict	0	4	808	819
2272	Spin Blades	0	507	-1	2212
2273	Spin Blades	0	507	-1	2212
2274	Goblin	2	86	6181	6180
2275	Goblin	2	86	6181	6180
2276	Goblin	2	86	6181	6180
2277	Goblin	2	86	6181	6180
2278	Goblin	2	86	6181	6180
2279	Goblin	2	86	6181	6180
2280	Goblin	2	86	6181	6180
2281	Goblin	2	86	6181	6180
2282	Sir Spishyus	0	827	2253	-1
2283	Lady Table	0	236	2256	-1
2284	Sir Kuam Ferentse	0	827	2253	-1
2285	Sir Leye	20	4	808	819
2286	Sir Tinley	0	827	2253	-1
2287	Sir Ren Itchood	0	830	1321	-1
2288	Miss Cheevers	0	236	2256	-1
2289	Ms. Hynn Terprett	0	828	2255	-1
2290	Sir Tiffy Cashien	0	829	4838	-1
2291	Rug Merchant	0	4	808	819
2292	Rug Merchant	0	4	808	819
2293	Rug Merchant	0	4	808	819
2294	Rug Merchant	0	192	1144	-1
2296	Rug Merchant	0	192	1144	-1
2298	Rug Merchant	0	4	808	819
2300	Rug Station Attendant	0	4	808	819
2301	Monkey	0	116	222	219
2304	Sarah	0	4	808	819
2305	Vanessa	0	4	808	819
2306	Richard	0	4	808	819
2307	Alice	0	4	808	819
2308	Cap'n Arnav	0	45	3	7189
2309		0	-1	-1	-1
2310	Cow calf	2	1394	5852	5856
2311	Sheepdog	0	1416	2268	-1
2312	Rooster	0	50	2298	2297
2313	Chicken	1	62	5386	5385
2314	Chicken	1	62	5386	5385
2315	Chicken	1	62	5386	5385
2316	Pig	0	1408	2166	2165
2317	Pig	0	1408	2166	2165
2318	Piglet	0	1408	2166	2165
2319	Piglet	0	1408	2166	2165
2320	Piglet	0	1408	2166	2165
2321	Blandebir	0	2	101	98
2322	Metarialus	0	4	808	819
2323	Elstan	0	120	2163	2164
2324	Dantaera	0	4	808	819
2325	Kragen	0	120	2163	2164
2326	Lyra	0	4	808	819
2327	Francis	0	4	808	819
2328	Wizard Cromperty	0	-1	-1	-1
2329	Muncher	0	187	6580	6577
2330	Garth	0	120	2163	2164
2331	Ellena	0	4	808	819
2332	Selena	0	4	808	819
2333	Vasquen	0	120	2163	2164
2334	Rhonen	0	4	808	819
2335	Dreven	0	120	2163	2164
2336	Taria	0	4	808	819
2337	Rhazien	0	120	2163	2164
2338	Torrell	0	4	808	819
2339	Alain	0	657	813	4226
2340	Heskel	0	4	808	819
2341	Treznor	0	4	808	819
2342	Fayeth	0	4	808	819
2343	Bolongo	0	108	195	189
2344	Gileth	0	4	808	819
2345	Sick-looking sheep (1)	0	64	5335	5334
2346	Sick-looking sheep (2)	0	64	5335	5334
2347	Sick-looking sheep (3)	0	64	5335	5334
2348	Sick-looking sheep (4)	0	64	5335	5334
2349	Mourner	11	119	813	819
2350	Mourner	11	119	813	819
2351	Mourner	11	119	813	819
2352	Eudav	0	4	808	819
2353	Oronwen	0	4	808	819
2354	Banker	0	92	808	808
2355	Banker	0	92	808	808
2356	Dalldav	0	4	808	819
2357	Gethin	0	4	808	819
2358	Arianwyn	0	4	808	819
2359	Elf warrior	108	4	808	819
2360	Elf warrior	108	4	808	819
2361	Elf warrior	90	4	808	819
2362	Elf warrior	90	4	808	819
2363	Goreu	0	4	808	819
2364	Ysgawyn	0	4	808	819
2365	Arvel	0	4	808	819
2366	Mawrth	0	4	808	819
2367	Kelyn	0	4	808	819
2368	Eoin	0	4	808	819
2369	Iona	0	4	808	819
2371	Gnome	0	108	195	189
2372	Head mourner	0	4	808	819
2373	Mourner	108	29	813	1205
2374	Mourner	0	29	813	1205
2376	Eluned	0	4	808	819
2377	Sick-looking sheep (1)	0	64	5335	5334
2378	Sick-looking sheep (2)	0	64	5335	5334
2379	Sick-looking sheep (3)	0	64	5335	5334
2380	Sick-looking sheep (4)	0	64	5335	5334
2397	Mysterious ghost	0	252	2334	2333
2398	Mysterious ghost	0	252	2334	2333
2399	Mysterious ghost	0	252	2334	2333
2400	Mysterious ghost	0	252	2334	2333
2401	Mysterious ghost	0	252	2334	2333
2402	Mysterious ghost	0	252	2334	2333
2409	Cart conductor	0	2	101	98
2410	Red Axe Director	0	212	2155	2154
2411	Red Axe Director	0	212	2155	2154
2412	Red Axe Henchman	0	970	2336	2335
2413	Red Axe Henchman	0	970	2336	2335
2414	Red Axe Henchman	0	2	101	98
2415	Colonel Grimsson	0	970	2336	2335
2416	Colonel Grimsson	0	2	101	98
2417	Ogre shaman	0	321	10626	10625
2418	Ogre shaman	0	321	10626	10625
2419	Grunsh	0	321	10626	10625
2420	Gnome emissary	0	108	195	189
2421	Gnome companion	0	108	195	189
2422	Gnome companion	0	108	195	189
2423	Chaos dwarf	48	2	101	98
2424	Gunslik	0	2	101	98
2425	Nolar	0	2	101	98
2426	Factory Worker	0	2	101	98
2427	Cart conductor	0	48	900	104
2428	Gauss	0	971	2337	104
2429	Drunken Dwarf	0	48	900	104
2430	Rowdy dwarf	0	213	101	104
2431	Ulifed	0	972	2337	98
2432	Red Axe Henchman	1	2	101	98
2433	Red Axe Henchman	1	969	2341	2335
2434	Ogre shaman	0	321	10626	10625
2436	Jarvald	0	119	813	819
2437	Jarvald	0	119	813	819
2438	Jarvald	0	119	813	819
2439	Askeladden	0	165	7158	7160
2440	Door-support	0	-1	-1	-1
2441	Door	0	445	2351	-1
2442	Door	0	448	2352	-1
2443	Door-support	0	452	2354	-1
2444	Door	0	447	2353	-1
2445	Door	0	450	2355	-1
2446	Door-support	0	451	2357	-1
2447	Door	0	446	2356	-1
2448	Door	0	449	2358	-1
2449	Egg	0	-1	-1	-1
2450	Egg	0	444	2362	2362
2451	Egg	0	-1	-1	-1
2452	Giant Rock Crab	137	82	1310	1311
2453	Boulder	0	-1	-1	-1
2454	Dagannoth spawn	42	443	1338	2361
2455	Dagannoth	90	196	1338	1339
2456	Dagannoth	88	196	1338	1339
2457	Wallasalki	98	225	2364	2363
2458	Freaky Forester	0	4	808	819
2459	Pheasant	3	680	2370	2369
2460	Pheasant	3	680	2370	2369
2461	Pheasant	3	680	2370	2369
2462	Pheasant	3	680	2370	2369
2463	Merchant Vernon	0	4	808	819
2464	Merchant Uriah	0	4	808	819
2465	Merchant Xenia	0	4	808	819
2466	Merchant Yuri	0	4	808	819
2467	Merchant Zakia	0	4	808	819
2468	H.A.M. agent Walton	50	4	808	819
2469	H.A.M. agent Walton	50	4	808	819
2470	H.A.M. agent Walton	50	4	808	819
2471	H.A.M. agent Walton	50	4	808	819
2472	Frog Herald	0	37	1796	1797
2473	H.A.M. agent Walton	0	4	808	819
2474	Frog Prince	0	4	808	819
2475	Frog Princess	0	4	808	819
2476	Rick Turpentine	0	81	2702	819
2477	Quiz Master	0	4	808	819
2478	Evil Bob	0	41	9158	9157
2479	Evil Bob	0	41	9158	9157
2480	H.A.M. agent Walton	0	4	808	819
2481	Servant	0	4	808	819
2482	Giant bat	0	76	4914	4913
2489	Bush snake	35	113	277	274
2490	Bush snake	35	578	277	2392
2491	Jungle spider	44	17	5326	5325
2492	Jungle spider	44	581	5326	5333
2493	Large mosquito	13	203	2395	2396
2494	Mosquito swarm	17	203	2395	2396
2495	Mosquito swarm	20	203	2395	2396
2496	Tribesman	32	579	2400	819
2497	Tribesman	32	119	813	819
2498	Broodoo victim	1	579	2400	819
2499	Broodoo victim	60	580	2401	819
2500	Broodoo victim	1	579	2400	819
2501	Broodoo victim	60	580	2401	819
2502	Broodoo victim	1	579	2400	819
2503	Broodoo victim	60	580	2401	819
2505	Sharimika	0	-1	-1	-1
2506	Sharimika	0	-1	-1	-1
2508	Mamma Bufetta	0	-1	-1	-1
2509	Mamma Bufetta	0	-1	-1	-1
2511	Layleen	0	-1	-1	-1
2512	Layleen	0	-1	-1	-1
2514	Karaday	0	-1	-1	-1
2515	Karaday	0	-1	-1	-1
2517	Safta Doc	0	-1	-1	-1
2518	Safta Doc	0	-1	-1	-1
2520	Gabooty	0	886	813	9724
2521	Gabooty	0	886	813	9724
2523	Fanellaman	0	119	813	819
2524	Fanellaman	0	119	813	819
2526	Jagbakoba	0	-1	-1	-1
2527	Jagbakoba	0	-1	-1	-1
2529	Murcaily	0	-1	-1	-1
2530	Murcaily	0	-1	-1	-1
2532	Rionasta	0	29	813	1205
2533	Rionasta	0	29	813	1205
2534	H.A.M. agent Walton	0	4	808	819
2535	High Priest	0	86	6181	6180
2536	Niles	0	4	808	819
2537	Miles	0	4	808	819
2538	Giles	0	4	808	819
2539	Cap'n Hand	0	684	7199	7200
2540	Dr Jekyll	0	1438	808	819
2541	Bandos avatar	0	86	6181	6180
2542	Zanik	75	1449	11390	11391
2543	Zanik	75	214	6040	6041
2544	Zanik	0	214	6040	6041
2546	Zanik	75	1449	11390	11391
2547	Chaos druid	13	123	8528	8527
2548	Blackjack seller	0	4	808	819
2549	Ali the dyer	0	4	808	819
2550	Dwarven Miner	0	2	101	98
2551	Dwarven Miner	0	2	101	98
2552	Dwarven Miner	0	2	101	98
2553	Blast Furnace Foreman	0	2	101	98
2554	Tin ore	0	-1	-1	-1
2555	Copper ore	0	-1	-1	-1
2556	Iron ore	0	-1	-1	-1
2557	Mithril ore	0	-1	-1	-1
2558	Adamantite ore	0	-1	-1	-1
2559	Runite ore	0	-1	-1	-1
2560	Silver ore	0	-1	-1	-1
2561	Gold ore	0	-1	-1	-1
2562	Coal	0	-1	-1	-1
2563	Perfect gold ore	0	-1	-1	-1
2564	Ordan	0	2	101	98
2565	Jorzik	0	2	101	98
2566	Wise Old Man	0	53	813	1146
2567	Wise Old Man	0	53	813	1146
2568	Banker	0	4	808	819
2569	Banker	0	4	808	819
2570	Banker	0	4	808	819
2571	Market Guard	20	4	808	819
2572	Olivia	0	4	808	819
2573	Pillory Guard	0	4	808	819
2574	Bank guard	0	4	808	819
2575	Purepker895	52	4	808	819
2576	Qutiedoll	16	4	808	819
2577	1337sp34kr	63	393	808	1146
2578	Elfinlocks	87	4	808	819
2579	Cool Mom227	27	4	808	819
2580	Bernald	0	4	808	819
2581	Ellamaria	0	287	2578	819
2582	Trolley	0	1054	-1	2571
2583	Trolley	0	-1	-1	-1
2584	Trolley	0	-1	-1	-1
2586	Billy, a guard of Falador	0	4	808	819
2587	Bob, another guard of Falador	0	4	808	819
2588	Brother Althric	0	4	808	819
2589	PKMaster0036	87	4	808	819
2590	King Roald	0	4	808	819
2591	TzHaar-Mej	103	481	9294	9295
2592	TzHaar-Mej	103	481	9294	9295
2593	TzHaar-Mej	103	481	9294	9295
2594	TzHaar-Mej	103	227	9281	9280
2595	TzHaar-Mej	103	481	9294	9295
2596	TzHaar-Mej	103	227	9281	9280
2597	TzHaar-Mej	103	481	9294	9295
2598	TzHaar-Hur	74	227	9281	9280
2599	TzHaar-Hur	74	227	9281	9280
2600	TzHaar-Hur	74	227	9281	9280
2601	TzHaar-Hur	74	227	9281	9280
2602	TzHaar-Hur	74	227	9281	9280
2603	TzHaar-Hur	74	227	9281	9280
2604	TzHaar-Xil	133	227	9281	9280
2605	TzHaar-Xil	133	228	9281	9296
2606	TzHaar-Xil	133	480	9298	9297
2607	TzHaar-Xil	133	227	9281	9280
2608	TzHaar-Xil	133	228	9281	9296
2609	TzHaar-Xil	133	480	9298	9297
2610	TzHaar-Ket	149	227	9281	9280
2611	TzHaar-Ket	149	227	9281	9280
2612	TzHaar-Ket	149	228	9281	9296
2613	TzHaar-Ket	149	228	9281	9296
2614	TzHaar-Ket	149	227	9281	9280
2615	TzHaar-Ket	149	227	9281	9280
2616	TzHaar-Ket	149	227	9281	9280
2617	TzHaar-Mej-Jal	0	481	9294	9295
2618	TzHaar-Mej-Kah	0	481	9294	9295
2619	TzHaar-Ket-Zuh	0	481	9294	9295
2620	TzHaar-Hur-Tel	0	481	9294	9295
2621	Olaf Hradson	0	4	808	819
2622	TzHaar-Hur-Lek	0	481	9294	9295
2623	TzHaar-Mej-Roh	0	481	9294	9295
2624	TzHaar-Ket	0	228	9281	9296
2625	TzHaar-Ket	0	228	9281	9296
2626	Rocks	1	-1	-1	-1
2627	Tz-Kih	22	484	9228	9229
2628	Tz-Kih	22	484	9228	9229
2629	Tz-Kek	45	482	9236	9237
2630	Tz-Kek	45	482	9236	9237
2631	Tok-Xil	90	197	9241	9240
2632	Tok-Xil	90	197	9241	9240
2633	Wise Old Man	0	53	813	1146
